id,titulo,autor,precio,idEditorial
3,Fox-tail Blackroot,Michele Dalli,32.24,4
14,Beachhead Iris,Laurence Conibere,360.29,4
20,American Mannagrass,Rogerio Tidbold,3.71,4
26,Cliff Desertdandelion,Adah Scurrer,62.89,4
27,Dwarf White Milkvetch,Raffarty Booi,45.14,4
33,Macaranga,Lonni Yule,724.07,4
45,Pine Dropseed,Bruis Malham,353.16,4
49,Birdcage Evening Primrose,Stephi Lawlance,285.65,4
56,Santa Cruz Island Desertdandelion,Colver Chastang,485.92,4
59,Hawkweed,Judas Courtney,3.37,4
67,San Diego Bur Ragweed,Dorisa Shortell,430.28,4
68,Desert Yellowhead,Noni Loyd,570.49,4
84,Bolander Beach Pine,Cayla Rowes,831.11,4
86,Blue Milkwort,Herta Milstead,374.50,4
108,Sanionia Moss,Elia Ewer,9.45,4
122,Blue Ridge Wakerobin,Nil Casseldine,392.34,4
126,Poverty Rush,Constancy Beven,327.38,4
130,Lescur's Thelia Moss,Raymund Gregon,972.08,4
135,Psophocarpus,Deeyn Scipsey,948.02,4
139,Manyflower Thelypody,Kizzie Pic,219.69,4
141,Destitute Rinodina Lichen,Brent Pococke,319.33,4
148,Stegnosperma,Mallory Hablet,270.91,4
150,Heartleaf Skullcap,Brennen Monday,726.15,4
